Artículo,,,Nombre artículo,Serie,Documento,Fecha,Agrup.,Nº agrup.,Uni.agr.,,Unid.,Precio,Dto1,,Importe,,,,,Factura
,,,00011 - CONTADO ZOCODOVER,,,,,,,,,,,,,,,,,
MCG006,,,UD. SOMBRILLA DE CHOCOLATE 35 GMS.,11,   908178T,01/12/2025,,,,,2,"2,2",,,"4,4",,,,,T251201
,,,Total albarán 11908178T,,,,,,,,2,,,,"4,4",,,,,
MVH008,,,"UD. AGUA MINERAL DE 1, 5 L. AQUABONA",11,   908184T,01/12/2025,,,,,1,"1,75",,,"1,75",,,,,T251201
,,,Total albarán 11908184T,,,,,,,,1,,,,"1,75",,,,,
MCK048,,,UD. MEGA-ROULETE,11,   908186T,01/12/2025,,,,,1,"0,7",,,"0,7",,,,,T251201
,,,Total albarán 11908186T,,,,,,,,1,,,,"0,7",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908192T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908192T,,,,,,,,1,,,,"1,1",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908202T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908202T,,,,,,,,1,,,,"1,1",,,,,
MCJ003F,,,UD. BOLSA CARAMELO MIEL - EUCALIPTO 175 GR.,11,   908209T,01/12/2025,,,,,1,"3,3",,,"3,3",,,,,T251201
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908209T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908209T,,,,,,,,2,,,,"4,4",,,,,
MCN001,,,UD. CHUPA CHUPS,11,   908215T,01/12/2025,,,,,1,"0,3",,,"0,3",,,,,T251201
,,,Total albarán 11908215T,,,,,,,,1,,,,"0,3",,,,,
MCG001F,,,UD. HUEVO PATRULLA CANINA,11,   908221T,01/12/2025,,,,,2,"1,5",,,3,,,,,T251201
,,,Total albarán 11908221T,,,,,,,,2,,,,3,,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908232T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908232T,,,,,,,,1,,,,"1,1",,,,,
,04/03/2026 20:10:36,,,,,,,,,,,,,,,,,Página: 1,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908238T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908238T,,,,,,,,1,,,,"1,1",,,,,
MTU016,,,KG. POLVORONES Y MANTECADOS,11,   908257T,01/12/2025,,,,,"1,36","19,8",,,"26,93",,,,,T251201
,,,Total albarán 11908257T,,,,,,,,"1,36",,,,"26,93",,,,,
MTU002,,,UD. TURRON JIJONA 300 GR.,11,   908268T,01/12/2025,,,,,1,"12,1",,,"12,1",,,,,T251201
,,,Total albarán 11908268T,,,,,,,,1,,,,"12,1",,,,,
MBB003,,,KG. LENGUAS DE GATO,11,   908274T,01/12/2025,,,,,"0,26","34,1",,,"8,87",,,,,T251201
,,,Total albarán 11908274T,,,,,,,,"0,26",,,,"8,87",,,,,
MVH010B,,,UD. BOTELLA AGUA 1/2 L. AQUABONA,11,   908275T,01/12/2025,,,,,1,"1,1",,,"1,1",,,,,T251201
,,,Total albarán 11908275T,,,,,,,,1,,,,"1,1",,,,,
MVA001,,,UD. VELA NUMERO,11,   908290T,01/12/2025,,,,,2,"0,99",,,"1,98",,,,,T251201
,,,Total albarán 11908290T,,,,,,,,2,,,,"1,98",,,,,
MCF018J,,,UD. CHOC. TORRAS SEA SALT ORGANIC,11,   908296T,01/12/2025,,,,,1,"3,85",,,"3,85",,,,,T251201
,,,Total albarán 11908296T,,,,,,,,1,,,,"3,85",,,,,
